model,workload_id,batch_size,system,status,HBM_read_GB,HBM_write_GB,Grace_weight_read_GB,Grace_KV_read_GB,Grace_KV_write_GB,migration_GB,total_C2C_GB,C2C_GB_per_generated_token,host_critical_path_fraction,prefill_HBM_read_GB,prefill_HBM_write_GB,prefill_Grace_read_GB,prefill_Grace_write_GB,local_array_GB_per_token,GPU_memory_boundary_GB_per_token,external_realized_TBps,NoC_GB_per_token,NMP_FLOPs_per_token,router_bit_traversals_per_token,fabric_wire_bit_um_per_token,prefill_boundary_GB
Llama-3.1-70B,W3,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,58.914947072,7.825555968,3.398733990434221,10.768269312,471316824064.0,1256781385728.0,2870503879185326.0,633.119789056
Llama-3.1-405B,W1,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W1,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,808.858578944,808.858578944,3.3957835581187483,0.0,0.0,0.0,0.0,869.320518144
Llama-3.1-405B,W1,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,808.858578944,16.30486016,3.3904254389670743,40.442413056,829291560960.0,7878886219776.0,2.0813963986563132e+16,869.320518144
Llama-3.1-405B,W1,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W1,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,102.299758592,102.299758592,3.3957835581187483,0.0,0.0,0.0,0.0,1302.093582336
Llama-3.1-405B,W1,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,102.299758592,16.30486016,3.39899396441745,39.900413952,829291560960.0,3179258896384.0,7141714743228924.0,1302.093582336
Llama-3.1-405B,W2,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W2,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,818.148306944,818.148306944,3.3957835581187483,0.0,0.0,0.0,0.0,878.610246144
Llama-3.1-405B,W2,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,818.148306944,17.46607616,3.3910609082665264,40.485879808,977927208960.0,8319043035136.0,2.1915549668003308e+16,878.610246144
Llama-3.1-405B,W2,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W2,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,111.589486592,111.589486592,3.3957835581187483,0.0,0.0,0.0,0.0,1376.411406336
Llama-3.1-405B,W2,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,111.589486592,17.46607616,3.3990631394227426,40.334852096,977927208960.0,3492302217216.0,7863392983294788.0,1376.411406336
Llama-3.1-405B,W3,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W3,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,872.920543232,872.920543232,3.3957835581187483,0.0,0.0,0.0,0.0,933.316422144
Llama-3.1-405B,W3,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,872.920543232,24.312605696,3.3935741236607564,40.43825152,1854282989568.0,9126008774656.0,2.4168004410082064e+16,933.316422144
Llama-3.1-405B,W3,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,W3,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,166.36172288,166.36172288,3.3957835581187483,0.0,0.0,0.0,0.0,1814.060814336
Llama-3.1-405B,W3,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,166.36172288,24.312605696,3.39932104859448,39.837696,1854282989568.0,4333867032576.0,1.0091544550818936e+16,1814.060814336
