model,workload_id,H,P,G,batch_size,system,status,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,capacity_GB,capacity_utilization,capacity_violation_GB,physical_slot_excess_GB,HBM_capacity_GB,Grace_capacity_GB,HBM_only_fit,physical_slot_status,kv_state_fraction,prefill_s,decode_s,decode_generated_tokens,decode_tok_s,first_step_ms,last_step_ms,mean_TPOT_ms,E2E_s,E2E_generated_tokens,E2E_tok_s,TTFT,prefill_host_GB,HBM_resident_GB,Grace_resident_GB,residency_policy,effective_bandwidth_TBps,placement_policy,energy_status,E2E_J_per_token,E2E_tokens_per_J,optimizer_runtime_s,accepted_moves,moved_fraction,resident_moved_fraction,selected_executor,CPA_moves,CPA_optimizer_runtime,NMP_MAC_status,NMP_Fabric_status,NMP_NoC_status,NMP_reduction_status,NMP_background_status,selector_objective,selector_overhead_status,selector_latency_s,selector_energy_J
Llama-3.1-8B,W2,20000,512,256,8,M3D_GPU,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,1493.84331264,0.02556470954943003,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407,0.1438335893504,2.76314546065067,2048,741.1842876768904,10.754166531223591,10.83290738010977,10.79353695566668,2.9069790500010697,2048,704.5114411812656,0.1545877558816236,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.5929025544808088,1.686617796537708,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,1493.84331264,0.02556470954943003,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407,0.1438335893504,1.8255678483169295,2048,1121.842719725887,7.125765534566712,7.1361017652164005,7.131124407488006,1.9694014376673294,2048,1039.9098735429823,0.1509593548849667,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.37227073835089103,2.686217037712565,350.5986246993707,956,0.7631962176338649,0.013818859041406562,NMP_CPA,956,350.5986246993707,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-8B,W3,126000,512,512,1,HBM_GPU,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,624.95514624,0.052409925117124515,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713,0.058627996291657145,4.910574044959411,512,104.26479578809243,9.580808740301583,9.601121122821114,9.590964931561349,4.969202041251068,512,103.03465138863557,0.06820880503195872,0.0,32.709812224,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W3,126000,512,512,1,M3D_GPU,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,1493.84331264,0.021925895533257526,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713,0.058627996291657145,4.768285191776576,512,107.37612777083876,9.303195109850185,9.322918920527066,9.313057015188624,4.826913188068232,512,106.07193045560166,0.06793119140150733,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,3.9229507373811474,0.25491015996483607,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,1493.84331264,0.021925895533257526,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713,0.058627996291657145,0.9842138231017101,512,520.2121612013665,1.9216676431282707,1.9228849408034707,1.9222926232455275,1.0428418193933673,512,490.9661182343417,0.06054966393478541,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.7298213285007812,1.370198377257934,45.420574699906865,174,0.7641428839800278,0.0,NMP_CPA,174,45.420574699906865,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-8B,W3,126000,512,512,8,HBM_GPU,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,624.95514624,0.23938863893849227,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251,0.46902397033325716,22.453124149893494,4096,182.42450238353265,43.85375810526093,43.85375810526093,43.85375810526073,22.92214812022675,4096,178.69180403671004,0.5128777284385181,3.063939072,144.602824704,4.652015616,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W3,126000,512,512,8,M3D_GPU,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,1493.84331264,0.10014916597350909,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251,0.46902397033325716,22.305050572373172,4096,183.63553970477284,43.48565665645883,43.64344714187388,43.564551899166354,22.77407454270643,4096,179.8536310364267,0.512509626989716,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,2.315501609148888,0.4318718657110203,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W3,126000,512,512,8,M3D_MAC_NMP,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,1493.84331264,0.10014916597350909,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251,0.46902397033325716,5.535560910880577,4096,739.9430818201264,10.803687415260768,10.81934247081575,10.811642404063626,6.004584881213834,4096,682.1454073894262,0.47982765774851793,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.6178448049572081,1.618529430006715,219.85577329975786,644,0.6399302240573129,0.0030667840566585064,NMP_CPA,644,219.85577329975786,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W1,2000,512,256,1,HBM_GPU,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,624.95514624,0.22738033676648647,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826,0.10446370092763428,10.859016549051761,256,23.574878889226355,42.40536299957085,42.43070378989609,42.41803339473344,10.963480249979396,256,23.350249570658104,0.1468690639272051,0.0,142.014431232,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W1,2000,512,256,1,M3D_GPU,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,1493.84331264,0.09512544616534703,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826,0.10446370092763428,10.54436555360572,256,24.278369210412947,41.176624686133884,41.201231201410806,41.18892794377234,10.648829254533355,256,24.04020140439544,0.14564032561376816,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,17.30758300371519,0.05777814266644529,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W1,2000,512,256,1,M3D_MAC_NMP,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,1493.84331264,0.09512544616534703,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826,0.10446370092763428,1.8841393716578139,256,135.87105277395221,7.3586074200714435,7.361231422507036,7.359919420538335,1.9886030725854482,256,128.73358365436195,0.11182230834770572,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,2.703304880955741,0.36991758016078996,116.93555249963538,571,0.5922108101792433,0.0037238906084884095,NMP_CPA,571,116.93555249963538,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W1,2000,512,256,8,HBM_GPU,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,624.95514624,0.23852624125244615,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684,0.8357096074210743,11.199208808492008,2048,182.87006118209584,43.74690940817189,43.74690940817189,43.74690940817191,12.034918415913083,2048,170.17149009436133,0.8794565168292461,1.337982976,144.250503168,4.113055744,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W1,2000,512,256,8,M3D_GPU,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,1493.84331264,0.09978837855528414,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684,0.8357096074210743,11.000972311153895,2048,186.16536266740087,42.87412202933717,43.070974151552626,42.9725480904449,11.83668191857497,2048,173.02146108920368,0.8785837294504114,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,2.4190898861943904,0.41337860395636544,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W1,2000,512,256,8,M3D_MAC_NMP,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,1493.84331264,0.09978837855528414,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684,0.8357096074210743,8.434794743861845,2048,242.80377438827034,32.9379209681161,32.95891296832322,32.94841696821033,9.27050435128292,2048,220.9157045179082,0.8686475283891903,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,1.9637129390868475,0.5092394005740031,607.5521925002686,1963,0.7887774983236204,0.02046495784238694,NMP_CPA,1963,607.5521925002686,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W2,20000,512,256,1,HBM_GPU,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,624.95514624,0.2368181980841928,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035,0.13897683098477714,11.247077024787847,256,22.761469440974945,43.93389462807772,43.93389462807772,43.93389462807753,11.386053855772625,256,22.483645628481753,0.18291072561285487,0.857735168,144.867065856,3.045605376,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W2,20000,512,256,1,M3D_GPU,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,1493.84331264,0.09907381206831199,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035,0.13897683098477714,10.989019759080614,256,23.295981408028517,42.91355517627019,42.938161691547116,42.92585843390865,11.127996590065392,256,23.005039400222863,0.18189038616104733,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,18.09093669204648,0.055276297574997385,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,1493.84331264,0.09907381206831199,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035,0.13897683098477714,2.0416233042663663,256,125.39041823486171,7.971738032290472,7.977690032290499,7.975091032290493,2.1806001352511433,256,117.39887376028071,0.14694856901706763,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,3.0143549982281113,0.33174592925777385,146.9589113999391,633,0.5843672389919115,0.003189559423632186,NMP_CPA,633,146.9589113999391,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W2,20000,512,256,8,HBM_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,624.95514624,0.3140291317940968,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982,1.1118146478782172,30.043684504318588,2048,68.16740469051368,116.55535256761301,118.16093262237594,117.35814259499448,31.155499152196803,2048,65.73478376948404,1.2283700004458302,48.523902976,144.250503168,51.298975744,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W2,20000,512,256,8,M3D_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982,1.1118146478782172,14.558205954953044,2048,140.67667447053958,56.769565950427605,56.96641807264305,56.86799201153533,15.670020602831261,2048,130.69542484391928,1.1685842138286449,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,3.2024287796440545,0.3122629943736481,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982,1.1118146478782172,9.732151038521872,2048,210.43652034309696,37.99254088643241,38.03850535299628,38.01621499422606,10.84396568640009,2048,188.86079679950387,1.1498071887646495,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,2.2395842395733707,0.4465114472275867,634.1019856004277,2050,0.7373784203931641,0.015201345532929008,NMP_CPA,2050,634.1019856004277,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W3,126000,512,512,1,HBM_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,624.95514624,0.2925309420938708,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252,0.3422208190990629,43.872919521698584,512,11.670069044454086,85.48820490944901,85.89038697218619,85.68929594081754,44.215140340797646,512,11.579743862705186,0.4277090240085119,35.591815168,144.867065856,37.863571456,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W3,126000,512,512,1,M3D_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252,0.3422208190990629,27.221401909121177,512,18.80873004664915,53.1421458404062,53.1914553670984,53.1668006037523,27.56362272822024,512,18.575207078124865,0.3953629649394691,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,22.40214510042678,0.04463858239990371,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252,0.3422208190990629,5.2844965241741955,512,96.88718644393656,10.318164003679689,10.324382293875773,10.321282273777726,5.626717343273258,512,90.9944411215353,0.35253898310274256,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,4.063432398439313,0.24609736349596487,156.00886749988422,487,0.5620231080769001,0.002740241438763722,NMP_CPA,487,156.00886749988422,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-70B,W3,126000,512,512,8,HBM_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,624.95514624,0.7597310838715208,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443,2.737766552792503,402.21781617162895,4096,10.183536967572342,783.9729439592641,787.1904004611615,785.5816722102128,404.95558272442145,4096,10.114689548032214,3.521739496751767,326.396542976,144.250503168,329.842704384,GRACE_C2C_STATE_OFFLOAD,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,W3,126000,512,512,8,M3D_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,1493.84331264,0.3178364468392015,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443,2.737766552792503,71.06331103758568,4096,57.63874410289733,138.5982912635157,138.99276747705332,138.79552937028453,73.80107759037818,4096,55.50054462258985,2.8763648440560186,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,7.515347945616481,0.13306103818962575,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-70B,W3,126000,512,512,8,M3D_MAC_NMP,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,1493.84331264,0.3178364468392015,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443,2.737766552792503,28.45465011813046,4096,143.94835230780612,55.53483910118916,55.61396142275779,55.57548851197355,31.192416670922963,4096,131.3139678535463,2.793301391893692,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,3.2647935452761767,0.3062980816802024,471.6758110994124,1503,0.5906678317304648,0.006216967435639957,NMP_CPA,1503,471.6758110994124,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-405B,W1,2000,512,256,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,1.032192,1.428553728,0.163577856,813.298909184,624.95514624,1.3013716489529807,188.343762944,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.0017568462136147843,,,,,,,,,,,,,,,,,NOT_APPLICABLE_GPU_EXECUTION,,,,,,,,,,,,,,,,,,,
