model,context,H,P,G,batch,path,execution_status,E2E_s,prefill_s,decode_s,generated_tokens,tokens_per_s,E2E_J,J_per_token,tokens_per_J,Tmax_C,thermal_metric_type,thermal_phase,thermal_status,execution_checkpoint_reused,thermal_provenance,operating_point_source
Llama-3.1-8B,LC64K,64000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.06611689980548607,0.008695789837165714,0.05742110996832036,32,483.9912351326671,24.16382900723091,0.7551196564759659,1.3242934300861073,64.85036122683351,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,1,M3D_NMP_CPA,EVALUATED,0.06164539575360818,0.008695789837165714,0.05294960591644247,32,519.0979733166365,21.76545452310836,0.6801704538471363,1.4702196991119865,63.210455352625274,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,8,HBM_GPU,EVALUATED,0.8679658595167936,0.06956631869732571,0.7983995408194678,256,294.9424763579043,380.1952337820179,1.4851376319610075,0.6733382674301901,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,8,M3D_GPU,EVALUATED,0.8448314247226545,0.06956631869732571,0.7752651060253288,256,303.01903138136817,354.48673237748466,1.3847137983495494,0.7221708927808096,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,0.39243890537187853,0.06956631869732571,0.3228725866745528,256,652.3308379871567,161.08518802172057,0.629239015709846,1.5892212260104337,71.53679092526596,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,8,M3D_NMP_CPA,EVALUATED,0.3538589425121879,0.06956631869732571,0.2842926238148622,256,723.4521139484348,144.3836081261585,0.5639984692428066,1.7730544576522436,71.43578822299162,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,1,HBM_GPU,EVALUATED,0.3207568624230389,0.014639717791451429,0.3061171446315875,32,99.7640385875702,140.26384137933323,4.383245043104163,0.2281414774136861,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,1,M3D_GPU,EVALUATED,0.311886808321331,0.014639717791451429,0.2972470905298795,32,102.6013256932336,130.42456825707362,4.0757677580335505,0.24535254689842126,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.07954017270352033,0.014639717791451429,0.0649004549120689,32,402.31242795106135,30.90957555957394,0.9659242362366857,1.0352778846258959,67.41185789736454,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,1,M3D_NMP_CPA,EVALUATED,0.07611170863213063,0.014639717791451429,0.061471990840679204,32,420.43465552277945,28.58690438283819,0.8933407619636934,1.1193936766098684,65.56645692951679,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,8,HBM_GPU,EVALUATED,1.5230023704300977,0.11711774233161143,1.4058846280984862,256,168.08903582185843,677.5276638061589,2.646592436742808,0.37784435038691166,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,8,M3D_GPU,EVALUATED,1.5050175314556826,0.11711774233161143,1.3878997891240712,256,170.09768633883738,631.1858202894078,2.4655696105054994,0.40558579069887896,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,0.5000864923320313,0.11711774233161143,0.38296875000041986,256,511.91144717028146,215.1911890636708,0.8405905822799641,1.1896397855037395,73.97939042107862,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC126K,126000,128,32,8,M3D_NMP_CPA,EVALUATED,0.4623916124049061,0.11711774233161143,0.3452738700732947,256,553.6432606736527,198.69079306172165,0.7761359103973502,1.2884341345422872,74.1025568582914,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,1,HBM_GPU,EVALUATED,1.452019497846637,0.045493777565615096,1.406525720281022,32,22.03827155727344,633.3924106422278,19.79351283256962,0.05052160313628264,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,1,M3D_GPU,EVALUATED,1.4164675126446313,0.04437162946730156,1.3720958831773298,32,22.591411179105723,587.7848710837349,18.368277221366714,0.05444168704274346,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.3362302247292596,0.04437162946730156,0.29185859526195806,32,95.1728834781797,123.96982930005375,3.8740571656266796,0.2581273216287806,66.31336503782,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,1,M3D_NMP_CPA,EVALUATED,0.2990270565367996,0.04437162946730156,0.25465542706949806,32,107.01372768942711,105.66557421297743,3.3020491941555448,0.3028422477078621,64.43640331220433,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,8,HBM_GPU,EVALUATED,3.892140330251107,0.2772353934014171,3.61490493684969,256,65.77357913081305,1109.8872459680972,4.33549705456288,0.23065406051828666,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,8,M3D_GPU,EVALUATED,2.084758444108573,0.2772353934014171,1.807523050707156,256,122.79600100598881,878.9827196306438,3.4335262485572025,0.2912457711427745,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,1.7081421916664208,0.2772353934014171,1.4309067982650037,256,149.87042720972357,726.4573624742319,2.8377240721649684,0.3523950794966037,73.69012009231426,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC20K,20000,128,32,8,M3D_NMP_CPA,EVALUATED,1.490490979414541,0.2772353934014171,1.2132555860131238,256,171.75548429052273,636.4178626210062,2.4860072758633054,0.40225143735861923,74.34452018887862,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,1,HBM_GPU,EVALUATED,1.4622715017133419,0.05574578143232,1.406525720281022,32,21.88376095855362,705.4700988401934,22.045940588756043,0.045359824679470646,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,1,M3D_GPU,EVALUATED,1.5637082273936451,0.05574578143232,1.5079624459613252,32,20.464175758246732,653.2276677348918,20.41336461671537,0.04898751473733808,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.3701470720128978,0.05574578143232,0.3144012905805778,32,86.45212246575588,144.38244408711574,4.511951377722367,0.22163359404480107,67.64788422349426,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,1,M3D_NMP_CPA,EVALUATED,0.3439244977335778,0.05574578143232,0.2881787163012578,32,93.0436773503378,129.39316125138296,4.043536289105718,0.24730827881877707,65.77267653661892,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,8,HBM_GPU,EVALUATED,12.926191647548293,0.44596625145856,12.480225396089734,256,19.804750461715106,2348.9593627427244,9.175622510713767,0.10898443117427359,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,8,M3D_GPU,EVALUATED,3.3404218044376783,0.44596625145856,2.8944555529791183,256,76.63702819204136,1408.2823994015232,5.5011031226622,0.18178172226592632,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,2.0550922382144514,0.44596625145856,1.6091259867558916,256,124.56861801123989,895.3416306416198,3.497428244693827,0.2859243792970347,74.98163991952566,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC64K,64000,128,32,8,M3D_NMP_CPA,EVALUATED,1.903300469085711,0.44596625145856,1.4573342176271509,256,134.50319808042437,822.9282719275232,3.2145635622168873,0.31108422050001755,74.73483781415365,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,1,HBM_GPU,EVALUATED,2.8067296851418764,0.08546542120374857,2.721264263938128,32,11.401169186117203,905.4550151987554,28.295469224961106,0.0353413471269754,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,1,M3D_GPU,EVALUATED,1.784876205633431,0.08546542120374857,1.6994107844296824,32,17.928414250244085,746.4570250296032,23.3267820321751,0.04286917923872568,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.438388377512412,0.08546542120374857,0.35292295630866344,32,72.99463590157335,174.9346286631157,5.466707145722365,0.18292547475905827,68.55763757036681,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,1,M3D_NMP_CPA,EVALUATED,0.4152510936273442,0.08546542120374857,0.32978567242359563,32,77.06180788223891,160.1248351322712,5.003901097883475,0.19984407773826207,66.63203130414917,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,8,HBM_GPU,EVALUATED,25.75254702675697,0.7802791653744535,24.97226786138252,256,9.940764295431254,4102.069747082971,16.023709949542855,0.062407520053028,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,8,M3D_GPU,EVALUATED,5.109765630355963,0.6837233696299886,4.426042260725975,256,50.10014519632013,2154.1139906757307,8.414507776077073,0.11884236447472984,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,2.6015314597221586,0.6837233696299886,1.9178080900921701,256,98.40357649464696,1139.493248995164,4.45114550388736,0.22466126958255148,75.12978254918568,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-70B,LC126K,126000,128,32,8,M3D_NMP_CPA,EVALUATED,2.45551912483583,0.6837233696299886,1.7717957552058414,256,104.25494039559376,1069.2844999977008,4.176892578116019,0.23941242952698788,74.91223289948266,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,1,HBM_GPU,EVALUATED,53.34166261436328,1.6163941086611904,51.72526850570209,32,0.5999063102203226,7478.561832862815,233.70505727696298,0.00427889756281527,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,1,M3D_GPU,EVALUATED,7.952677180040587,0.24530893982344618,7.707368240217141,32,4.023802208432744,3294.669012633598,102.95840664479994,0.009712660020564784,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,1.2381289936481878,0.24530893982344618,0.9928200538247416,32,25.845449193230625,526.3657038168368,16.44892824427615,0.060794234441868704,74.57969203391855,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,1,M3D_NMP_CPA,EVALUATED,1.1117086021821936,0.24530893982344618,0.8663996623587474,32,28.784521354954528,449.25708929093867,14.039284040341833,0.071228703481353,71.93561484055533,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,8,HBM_GPU,EVALUATED,59.13256643950617,1.7917366730652833,57.34082976644089,256,4.329255694692251,8700.964230592057,33.98814152575022,0.029422026480688163,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,8,M3D_GPU,EVALUATED,9.810688615667535,1.4175221272693028,8.393166488398233,256,26.093988916452968,4140.242070848266,16.17282058925104,0.06183213339203374,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,5.986576054981665,1.4175221272693028,4.569053927712362,256,42.76233988324133,2859.9090258194187,11.171519632107104,0.08951333685401097,81.03255609287208,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC20K,20000,128,32,8,M3D_NMP_CPA,EVALUATED,5.385482585700591,1.4175221272693028,3.967960458431288,256,47.535201521164566,2566.837513829411,10.026709038396136,0.09973362108849616,81.40990520825778,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,1,HBM_GPU,EVALUATED,55.1415650786953,1.670936607580343,53.470628471114956,32,0.5803244785368568,7736.736837506927,241.77302617209148,0.004136110697841911,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,1,M3D_GPU,EVALUATED,8.173354198812405,0.25199612221047096,7.921358076601934,32,3.9151612938357214,3409.5679664854906,106.54899895267158,0.009385353310022123,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,1.312449091126203,0.25199612221047096,1.060452968915732,32,24.381898099027243,584.4254011930392,18.263293787282475,0.054754635809250544,74.98804678407612,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,1,M3D_NMP_CPA,EVALUATED,1.2217855218839433,0.25199612221047096,0.9697893996734723,32,26.1911762963579,517.6791975901449,16.177474924692028,0.061814343997138796,71.98285410344243,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,8,HBM_GPU,EVALUATED,73.53178615416248,2.228076664418504,71.30370948974397,256,3.4814875768594176,10766.364267744964,42.05611042087877,0.023777757619343462,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,8,M3D_GPU,EVALUATED,12.054109509625881,1.9490243301493027,10.105085179476578,256,21.2375704564132,5094.793089597371,19.901535506239732,0.0502473791374776,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-405B,LC64K,64000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,7.063618224214137,1.9490243301493027,5.114593894064834,256,36.242049311559626,3360.49575628349,13.126936547982384,0.07617923620981473,81.01624342938015,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
